inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18
31,20,6,6,-1,5,2,1800.079494714737,4.020770148589246,3.8187170028686523,4.194499622511191,9.122295618057251,4.194499622511191,27.560102224349976,4.19148043640685,31.475570917129517,4.129257851313674,34.42178201675415,4.092556803787655,53.512680768966675,4.082155053955641,186.0259268283844,4.077144259301553,214.80990505218506,4.053953665069878,590.369711637497,4.042299718264317,971.7285392284393,4.020770148589246,,,,,,,,,,,,,,,,
32,20,6,6,-1,5,2,1800.0552253723145,4.235443008640198,0.7979650497436523,4.2522404046820474,1.5810558795928955,4.2522404046820474,3.868303060531616,4.235443155911541,820.8168885707855,4.235443008640198,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20,6,6,-1,5,2,1800.1158673763275,4.207695638821304,2.4464292526245117,4.3382847067179675,4.676107168197632,4.318073815943511,4.676223278045654,4.318073815943511,17.26907706260681,4.2789478692203415,49.12313437461853,4.240540978728353,108.29202675819397,4.214738557456133,166.36890506744385,4.207695638821304,,,,,,,,,,,,,,,,,,,,,,
34,20,6,6,-1,5,2,1800.1502842903137,3.9251674854707703,8.467276811599731,4.092672629179555,10.886532068252563,4.092672629179555,16.442277669906616,4.08802365620397,22.101757764816284,4.085711818393714,29.835506677627563,4.066442287783462,33.267624378204346,4.032860249315465,39.947468996047974,4.000220675767736,85.95054912567139,3.9937455028074798,92.04897117614746,3.9251674854707703,,,,,,,,,,,,,,,,,,
35,20,6,6,-1,5,2,1800.0335137844086,4.5113818890036015,0.9794516563415527,4.553267994366751,1.3152825832366943,4.5381072396081965,1.3153750896453857,4.5381072396081965,4.440871953964233,4.5195112031979585,9.60436487197876,4.515309108286353,62.40188002586365,4.512847605510651,63.45835566520691,4.511473787572347,372.9258418083191,4.511472753175473,404.7115728855133,4.5113818890036015,,,,,,,,,,,,,,,,,,
36,20,6,6,-1,5,2,1800.2476816177368,3.934385037989739,9.040032863616943,4.15218996119215,15.948113441467285,4.0863635952455155,15.948205947875977,4.0863635952455155,27.055067539215088,4.037841139549035,40.0964789390564,3.9930962330724427,77.31249260902405,3.976556120173143,779.1237516403198,3.9678141860158083,1371.2570090293884,3.934385037989739,,,,,,,,,,,,,,,,,,,,
37,20,6,6,-1,5,2,1800.212381362915,3.9700091986109514,0.6299376487731934,4.0942993559047345,3.492748975753784,4.0942993559047345,9.309171199798584,4.044356655510473,24.068290948867798,4.003302305699309,130.5025897026062,3.998584538045342,147.23358249664307,3.9935597518920956,371.87514185905457,3.9700091986109514,,,,,,,,,,,,,,,,,,,,,,
38,20,6,6,-1,5,2,1800.0292103290558,4.088668541500978,2.4054434299468994,4.187114764219777,6.925999402999878,4.187114764219777,12.788242101669312,4.170620053403893,28.268491983413696,4.152135539298393,28.79405117034912,4.106751072914776,273.5241131782532,4.097903551712601,317.2672712802887,4.094065419255179,463.48196482658386,4.0912189466757996,924.3057019710541,4.0898375780167955,926.5871489048004,4.088668541500978,,,,,,,,,,,,,,,,
39,20,6,6,-1,5,2,1800.154355764389,4.126895670259215,10.381104946136475,4.290398344450175,13.649021625518799,4.255932502755073,13.649116039276123,4.255932502755073,19.475126266479492,4.20823555987854,38.094621658325195,4.177752011744679,46.47705388069153,4.172770005279784,72.90003442764282,4.1672923430856965,76.8004891872406,4.160186748285526,93.87493324279785,4.148696348779326,146.4846317768097,4.138865494742978,176.84727811813354,4.1332810562012865,343.9638903141022,4.126895670259215,,,,,,,,,,,,
40,20,6,6,-1,5,2,1800.0436625480652,3.8859943824019485,2.180671453475952,3.969927952086133,5.800907850265503,3.969927952086133,60.01947093009949,3.968931726276821,68.5307879447937,3.9659800712524502,72.79565739631653,3.9126153411800098,190.8921537399292,3.905869654737561,423.4813742637634,3.9021562986527796,527.0492100715637,3.888822062481332,620.0369136333466,3.8859943824019485,,,,,,,,,,,,,,,,,,
41,20,6,6,-1,5,2,1800.0229408740997,4.080567729390554,3.60649037361145,4.18678458258252,11.605134963989258,4.18678458258252,22.65152907371521,4.154208629801866,55.123801469802856,4.130755314387756,66.41078400611877,4.101810798107613,404.88066124916077,4.084238695024361,518.8779969215393,4.080567729390554,,,,,,,,,,,,,,,,,,,,,,
42,20,6,6,-1,5,2,1800.0538880825043,4.076953256946115,3.315943717956543,4.234809891289568,9.086695671081543,4.234809891289568,13.234005212783813,4.1577995003182755,50.638667821884155,4.155586395886582,54.94252848625183,4.087246712898468,65.55256843566895,4.087231084104648,238.23925471305847,4.078513832494964,843.0590310096741,4.076953256946115,,,,,,,,,,,,,,,,,,,,
43,20,6,6,-1,5,2,1800.1258766651154,4.107889437294071,4.185545206069946,4.2342908775872345,6.178762912750244,4.206303469583174,6.178861379623413,4.206303469583174,11.882178544998169,4.195872385875754,17.53314232826233,4.115433972616479,30.436705112457275,4.108817868786284,656.7934639453888,4.108473225293182,704.5772409439087,4.107889437294071,,,,,,,,,,,,,,,,,,,,
44,20,6,6,-1,5,2,1800.0745193958282,4.319060249676481,1.7775373458862305,4.431844029198967,2.747875928878784,4.426966119401762,2.7479779720306396,4.426966119401762,5.873880386352539,4.3652923641703385,7.3755950927734375,4.328896692519545,119.1597011089325,4.327393480968251,289.0759651660919,4.321623855174942,416.21789932250977,4.319060249676481,,,,,,,,,,,,,,,,,,,,
45,20,6,6,-1,5,2,1800.4434747695923,4.2231517593266545,10.843317031860352,4.443856152126359,12.233877897262573,4.411823700053691,12.233970642089844,4.411823700053691,16.057624578475952,4.263049091147843,576.7083780765533,4.246023282538724,763.6192252635956,4.2231517593266545,,,,,,,,,,,,,,,,,,,,,,,,
46,20,6,6,-1,5,2,1800.0023257732391,4.091232160711156,2.3096964359283447,4.181872966183077,8.570426225662231,4.181872966183077,22.219563961029053,4.167802464969746,36.57270312309265,4.162985726475649,48.50035881996155,4.157506622041025,49.528708934783936,4.144233632606692,50.08981466293335,4.128370557970907,50.858726024627686,4.1188175653151795,177.4962329864502,4.112878467117448,181.55640125274658,4.103035515436154,257.2045660018921,4.0923353396590265,1595.7594385147095,4.091232160711156,,,,,,,,,,,,
