inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15
36,20,2,1800.6534600257874,4.537978463104546,28.22135043144226,4.53815658357444,581.9882371425629,4.538156518235776,621.9325468540192,4.538156354453636,761.4575667381287,4.538156242788321,1356.6601824760437,4.537978463104546,,,,,,,,,,,,,,,,,,,,
37,20,2,1800.5500717163086,4.41589740174382,4.433210372924805,4.4158978313689445,223.01588201522827,4.415897493776434,1324.4523630142212,4.41589740174382,,,,,,,,,,,,,,,,,,,,,,,,
38,20,2,1800.0870368480682,4.682264171896492,12.904294967651367,4.792995986142962,17.31772541999817,4.682264171896492,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20,2,1800.6151733398438,4.454274893195576,3.1428909301757812,4.454274893195576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,20,2,1800.2539546489716,4.335551498337613,27.285144805908203,4.55489113435428,49.55496335029602,4.480908642522072,59.73543334007263,4.4040159037326605,72.63983249664307,4.335551498337613,,,,,,,,,,,,,,,,,,,,,,
41,20,2,1800.5024647712708,4.607261276278072,16.28885579109192,4.607261526655177,1578.1142039299011,4.607261276278072,,,,,,,,,,,,,,,,,,,,,,,,,,
42,20,2,1800.137456893921,4.466551693194544,3.404233932495117,4.466551821908261,827.3927385807037,4.4665517174798515,1610.3443307876587,4.466551693194544,,,,,,,,,,,,,,,,,,,,,,,,
43,20,2,1800.4160618782043,4.692133907616904,13.564558029174805,4.753887539752519,73.10908532142639,4.728065199189318,146.54009175300598,4.714224304634579,479.5322983264923,4.692133907616904,,,,,,,,,,,,,,,,,,,,,,
44,20,2,1800.512507200241,4.714338896133693,4.319567918777466,4.750167908763004,62.54569125175476,4.75016768163194,383.0227630138397,4.72700661746612,856.8118124008179,4.714338896133693,,,,,,,,,,,,,,,,,,,,,,
45,20,2,1800.7219030857086,4.754690901152589,6.461792230606079,4.764789301417564,80.23102450370789,4.754690901152589,,,,,,,,,,,,,,,,,,,,,,,,,,
46,20,2,1800.432567358017,4.500969549747046,8.332301378250122,4.530488640971177,98.79957795143127,4.523326191582566,137.80534172058105,4.503779563477123,264.158203125,4.500969549747046,,,,,,,,,,,,,,,,,,,,,,
47,20,2,1800.6219081878662,4.780743698773376,4.743951320648193,4.844224067625546,231.06412029266357,4.844223616082488,239.96408343315125,4.780743698773376,,,,,,,,,,,,,,,,,,,,,,,,
48,20,2,1800.3326880931854,4.694364225177054,7.570020437240601,4.761652198885378,128.04068279266357,4.753193367085707,893.3689477443695,4.694364225177054,,,,,,,,,,,,,,,,,,,,,,,,
49,20,2,1800.0559177398682,5.075860196202504,47.34009099006653,5.185969069189218,109.34289288520813,5.176504187936118,138.90786385536194,5.0811193979555185,147.41817927360535,5.075860196202504,,,,,,,,,,,,,,,,,,,,,,
