inst,N,K_train,K_test,L_test,epsilon,T,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19
62,20,2,2,-1,5,10,1800.339390039444,4.845385889064996,13.659742832183838,4.885237513062992,28.628550052642822,4.885237513062992,79.16100811958313,4.8739518616262885,180.2173409461975,4.869408579427724,494.5687210559845,4.868641619845129,1230.4569640159607,4.845385889064996,,,,,,,,,,,,,,,,,,,,,,,,,,
63,20,2,2,-1,5,10,1800.3677124977112,4.478734549487547,14.582243919372559,4.581849663067009,23.914928913116455,4.573837207944996,23.915113925933838,4.573837207944996,40.15943455696106,4.528303422231101,45.28800439834595,4.498928849786296,1091.6449058055878,4.478734549487547,,,,,,,,,,,,,,,,,,,,,,,,,,
64,20,2,2,-1,5,10,1800.6166126728058,4.439144562770618,20.263677835464478,4.5685276800682635,33.52491235733032,4.5685276800682635,47.574979066848755,4.537133640800591,63.754342555999756,4.502992345266516,100.02329683303833,4.439144562770618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,20,2,2,-1,5,10,1800.3007671833038,5.0174283240774376,39.71932101249695,5.032263018279859,59.883702993392944,5.022395971340399,59.88388729095459,5.022395971340399,569.5885374546051,5.018622823199069,1757.8911936283112,5.0174283240774376,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,20,2,2,-1,5,10,1800.6835086345673,4.682427994036718,6.6629509925842285,4.6824286106370065,19.39520263671875,4.6824286106370065,770.3768260478973,4.682428243182352,1392.4957780838013,4.682427994036718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,20,2,2,-1,5,10,1800.0333633422852,4.299785782588283,2.723357915878296,4.299786152462748,5.3432300090789795,4.299786152462748,531.5300724506378,4.299785897743398,1169.800104856491,4.299785782588283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,20,2,2,-1,5,10,1800.2512338161469,4.559332543039142,12.380724430084229,4.7290454191629845,28.159799575805664,4.658534230099376,28.159990310668945,4.658534230099376,92.01200652122498,4.595353814569215,144.4102566242218,4.591166377525877,231.79793405532837,4.559332543039142,,,,,,,,,,,,,,,,,,,,,,,,,,
69,20,2,2,-1,5,10,1800.4080083370209,4.509619225213547,6.284732341766357,4.613685507195083,12.907975673675537,4.519094000292656,12.908170938491821,4.519094000292656,28.134798049926758,4.509619225213547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,20,2,2,-1,5,10,499.48700523376465,4.610558313886881,0.6702523231506348,4.610558873532286,2.5341227054595947,4.610558873532286,58.01784896850586,4.610558433821563,333.75763487815857,4.610558313886881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,20,2,2,-1,5,10,1800.1843581199646,4.616751146801748,30.875988483428955,4.71500143395245,82.38196277618408,4.714714215849933,82.38213348388672,4.714714215849933,143.31386303901672,4.682527475772352,186.14706873893738,4.67487691173878,258.4882400035858,4.625855284290431,881.5961904525757,4.616751146801748,,,,,,,,,,,,,,,,,,,,,,,,
