inst,N,K,final_time,final_obj,time_1,obj_1,time_2,obj_2,time_3,obj_3,time_4,obj_4,time_5,obj_5,time_6,obj_6,time_7,obj_7,time_8,obj_8,time_9,obj_9,time_10,obj_10,time_11,obj_11,time_12,obj_12,time_13,obj_13,time_14,obj_14,time_15,obj_15,time_16,obj_16,time_17,obj_17,time_18,obj_18,time_19,obj_19,time_20,obj_20,time_21,obj_21
55,20,2,1800.7852857112885,18.336297906475096,28.017629623413086,18.90912613849675,88.3817207813263,18.825185461724825,98.96711850166321,18.79688883258026,118.31704664230347,18.773655034912235,301.46159386634827,18.570439678910198,881.3080959320068,18.336297906475096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,20,2,1800.4776377677917,18.20504427762467,20.330819606781006,18.539875217439516,61.845643281936646,18.481200870468978,83.69419479370117,18.388895759138524,162.11361622810364,18.3811648805555,236.13617038726807,18.26880072256158,409.6695122718811,18.20504427762467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,20,2,1800.6413633823395,19.196777440176017,19.94379687309265,19.196778434745866,99.16692924499512,19.196777440176017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,20,2,1800.3424923419952,16.116344879735657,41.52637767791748,16.533481143673665,76.8595232963562,16.358067179466534,112.5529191493988,16.191587037108583,162.8138918876648,16.159305903734573,857.2403500080109,16.116344879735657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,20,2,1800.096496105194,15.901974396688564,34.394047021865845,16.385195437762015,41.7251877784729,16.186437642713013,88.19775772094727,16.113879536040102,126.12292242050171,16.027437264591985,240.164217710495,16.016679550472467,296.6810619831085,15.997405016840217,339.6959557533264,15.916726706429518,385.72360920906067,15.901974396688564,,,,,,,,,,,,,,,,,,,,,,,,,,
60,20,2,1800.2048544883728,18.26659020339012,31.6065890789032,18.26659020339012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,20,2,1800.3663833141327,19.9465253955866,10.444620847702026,19.996442354543074,142.29426312446594,19.954107640462713,716.9572792053223,19.9465253955866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,20,2,1800.754578113556,16.988059744216464,7.0533061027526855,16.988060972422875,203.13004517555237,16.98806028297649,440.7452185153961,16.988060130360495,1391.3163635730743,16.988059744216464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,20,2,1800.0990152359009,18.500448960043123,40.72735142707825,18.768323129097457,74.70104002952576,18.763882661438387,158.49360013008118,18.752304139360817,187.47133445739746,18.73137541413097,205.07390546798706,18.692500240953432,317.6784334182739,18.540324218006717,1429.645414352417,18.500448960043123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,20,2,1800.508962392807,17.352935875091546,1.7297334671020508,17.352937420071434,134.04585361480713,17.352936642401065,386.17667531967163,17.352936253512137,1326.1327798366547,17.352935875091546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,20,2,1800.0695655345917,18.84697244271729,37.937936544418335,19.34604637963061,76.51565265655518,19.28169096477889,112.38947081565857,19.170174468931478,131.1112129688263,19.023209750156322,159.87435960769653,18.884352032644493,353.9952030181885,18.85368188314638,1107.5626080036163,18.84697244271729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,20,2,1800.7345519065857,15.79938066930521,8.795104742050171,15.799381298379858,333.0589265823364,15.79938066930521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,20,2,1800.8797199726105,21.388634616515215,49.915637731552124,21.797601974888757,76.43093299865723,21.51021508327767,96.67286515235901,21.42322801753012,154.8425953388214,21.413335339549814,1680.8457701206207,21.388634616515215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,20,2,1800.5773062705994,22.776500732325665,71.83081150054932,23.189776366732136,114.4264669418335,22.97022445905638,138.8777952194214,22.829372904195775,157.14581966400146,22.81332993702154,272.7670965194702,22.808874588608003,559.7526385784149,22.799238705725795,1489.120044708252,22.776500732325665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,20,2,1800.3320174217224,16.711321966199936,155.39370441436768,17.25624087366804,180.41934537887573,17.01607994142098,631.0485968589783,17.01523347312738,907.1262400150299,16.711321966199936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,20,2,1800.9128732681274,17.29056072007108,21.45505118370056,17.704965093592282,35.45364499092102,17.32372701982105,971.787469625473,17.30144127837216,1566.0770845413208,17.29056072007108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,20,2,1800.1881158351898,19.252781514108825,5.801753759384155,19.252787019014036,7.993888854980469,19.25278266447589,283.35592126846313,19.252781514108825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,20,2,1800.0539770126343,17.683752077669464,6.125771522521973,17.997987534075516,32.61772680282593,17.964081524831663,67.9977159500122,17.684386144613413,390.1351475715637,17.683752077669464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
